,순위,곡 제목,가수명,앨범명,좋아요 수
1,1,갑자기,아이오아이 (I.O.I)아이오아이 (I.O.I),I.O.I 3rd MINI ALBUM [I.O.I : LOOP],총건수0
2,2,REDRED,CORTIS (코르티스)CORTIS (코르티스),GREENGREEN,총건수0
3,3,LEMONADE,aespaaespa,LEMONADE - The 2nd Album,총건수0
4,4,It′s Me,아일릿(ILLIT)아일릿(ILLIT),MAMIHLAPINATAPAI,총건수0
5,5,LOVE ATTACK,RESCENE (리센느)RESCENE (리센느),SCENEDROME,총건수0
6,6,소문의 낙원,AKMU (악뮤)AKMU (악뮤),개화,총건수0
7,7,캐치 캐치,YENA (최예나)YENA (최예나),LOVE CATCHER,총건수0
8,8,"기쁨, 슬픔, 아름다운 마음",AKMU (악뮤)AKMU (악뮤),개화,총건수0
9,9,RUDE!,Hearts2Hearts (하츠투하츠)Hearts2Hearts (하츠투하츠),RUDE!,총건수0
10,10,사랑하게 될 거야,한로로한로로,이상비행,총건수0
11,11,Drowning,WOODZWOODZ,OO-LI,총건수0
12,12,0+0,한로로한로로,자몽살구클럽,총건수0
13,13,Good Goodbye,화사 (HWASA)화사 (HWASA),Good Goodbye,총건수0
14,14,Heavy Serenade,NMIXXNMIXX,Heavy Serenade,총건수0
15,15,404 (New Era),KiiiKiii (키키)KiiiKiii (키키),Delulu Pack,총건수0
16,16,BANG BANG,IVE (아이브)IVE (아이브),REVIVE+,총건수0
17,17,타임캡슐,다비치다비치,타임캡슐,총건수0
18,18,SWIM,방탄소년단방탄소년단,ARIRANG,총건수0
19,19,Popcorn,도경수(D.O.)도경수(D.O.),성장 - THE 3RD MINI ALBUM,총건수0
20,20,WDA (Whole Different Animal) (Feat. G-DRAGON),aespaaespa,LEMONADE - The 2nd Album,총건수0
21,21,Blue Valentine,NMIXXNMIXX,Blue Valentine,총건수0
22,22,너에게 닿기를,10CM10CM,너에게 닿기를,총건수0
23,23,VIRAL,BOYNEXTDOORBOYNEXTDOOR,HOME,총건수0
24,24,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)AKMU (악뮤),항해,총건수0
25,25,멸종위기사랑,이찬혁이찬혁,EROS,총건수0
26,26,어제보다 슬픈 오늘,우디 (Woody)우디 (Woody),어제보다 슬픈 오늘,총건수0
27,27,뛰어(JUMP),BLACKPINKBLACKPINK,뛰어(JUMP),총건수0
28,28,Golden,"HUNTR/X,EJAE,AUDREY NUNA,REI AMI,KPop Demon Hunters CastHUNTR/X,EJAE,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),총건수0
29,29,너의 모든 순간,성시경성시경,별에서 온 그대 OST Part.7,총건수0
30,30,소나기,이클립스 (ECLIPSE)이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,총건수0
31,31,모르시나요(PROD.로코베리),조째즈조째즈,모르시나요,총건수0
32,32,Whiplash,aespaaespa,Whiplash - The 5th Mini Album,총건수0
33,33,toxic till the end,로제 (ROSÉ)로제 (ROSÉ),rosie,총건수0
34,34,Body to Body,방탄소년단방탄소년단,ARIRANG,총건수0
35,35,그대 작은 나의 세상이 되어,카더가든카더가든,부재,총건수0
36,36,내게 사랑이 뭐냐고 물어본다면,로이킴로이킴,내게 사랑이 뭐냐고 물어본다면,총건수0
