,매장명,주소,영업 시간
1,가락몰점,"서울특별시 송파구 양재대로 932, 업무동 1층 로비",07:30~23:30
2,가산디지털단지역점,서울시 금천구 가산동 60-3 ,07:00~19:00
3,가산안양천점,"서울 금천구 가산 디지털2로 127-143, 101호",07:00~20:00
4,가산파트너스타워점,"서울특별시 금천구 가산디지털1로 83, 103호-1",07:00~19:30
5,가산하이엔드10차점,"서울특별시 금천구 가산디지털1로 30, 102호",07:00~18:30
6,가산IT캐슬점,"서울특별시 금천구 가산디지털1로 137, 1층 102호",07:00~18:00
7,강남구청점,서울 강남구 청담동 45-4,07:00~21:00
8,강남대로점,서울 서초구 강남대로 359 대우도시의빛2 102호,06:30~21:00
9,강남면허시험장점,서울특별시 강남구 테헤란로108길 22 1층,06:30~21:00
10,강남세브란스점,서울시 강남구 언주로 313,07:00~21:00
11,강남역사거리점,서울특별시 강남구 역삼동 820-10,07:00~22:00
12,강남역신분당선점,"서울특별시 강남구 강남대로 지하 396, 지하층 B2-1호(역상동,강남역)",06:30~19:00
13,강남역아라타워점,"서울시 서초구 서초대로 77길 3, 1층 125호 126-1호",07:00~20:30
14,강남역점,서울 강남구 역삼동822-7,06:30~23:00
15,강남우성점,서울시 강남구 역삼동 837번지 1층 104호,07:00~21:00
16,강남점,"서울 강남구 테헤란로4길 46 (역삼동 826-37) 쌍용 플래티넘, 1층",06:30~23:00
17,강남효성점,서울 강남구 역삼동 825-24,06:30~23:00
18,강동역점,서울 강동구 천호동 447,07:00~21:00
19,강릉입암점,강원특별자치도 강릉시 성덕포남로 52,09:00~22:00
20,거여역점,서울특별시 송파구 거여동 37-6,07:00~23:00
21,거제옥포점,"경남 거제시 거제대로 3730, 2층 205호 206호",09:00~21:00
22,건대역점,서울 광진구 아차산로 221 (화양동 7-4),07:00~23:00
23,건대점,서울시 광진구 화양동 34-74,07:30~22:20
24,경희대점,서울 동대문구 경희대로4길 1,07:00~23:00
25,계명대학교동산병원점,"대구광역시 달서구 달구벌대로 1035, 지하1층",07:00~20:00
26,계양구청점,"인천광역시 계양구 도두리로 25, 107호",10:30~22:00
27,고덕비즈밸리점,"서울특별시 강동구 고덕비즈밸리로4길 35, 1층 106호(고덕동, 디엠스퀘어)",07:00~19:00
28,고려대이공대점,서울 성북구 고려대로24길 61 1층 바나프레소 고려대이공대점,07:00~22:00
29,공덕역점,서울특별시 마포구 백범로 202 마포케이씨씨웰츠타워 1층,07:00~23:00
30,공주대점,충청남도 공주시 흑수골길 13,07:30~22:00
31,과천어반허브점,"경기도 과천시 과천대로7나길 60, 1층 A-125호",07:00~18:00
32,과천청사역점,경기 과천시 별양상가3로 8 힐스테이트 과천청사역 116호(별양동),07:30~22:00
33,광교법조타운점,경기도 수원시 영통구 하동 983-4,07:30~21:00
34,광주쌍촌역점,광주광역시 서구 쌍촌동 948-48,08:00~22:00
35,광화문역점,서울 종로구 새문안로5가길 3-1 1층,07:00~21:00
36,교대사거리점,서울 서초구 서초동 1598-1,07:00~21:00
37,교대역1번출구점,"서울특별시 서초구 서초대로 310, 소망빌딩 1층 (서초동)",06:30~19:30
38,교대역점,서울 서초구 반포대로30길 82,07:00~21:00
39,교육개발원사거리점,서울 서초구 강남대로27길 7-21 1층,07:00~21:00
40,구로우림점,서울 구로구 디지털로33길 28 우림이비즈센터1차 118호,06:30~21:00
41,구로지플러스점,서울시 구로구 구로동 222-31,06:30~19:00
42,구월점,"인천광역시 남동구 인하로 489번길 10, 104호",07:30~23:00
