이름,소속사,성별,생년월일,키,혈액형,브랜드평판지수
변우석,바로엔터테인먼트,남,1991-10-31,190.3cm,B,"3,762,141"
임영웅,물고기뮤직,남,1991-06-16,182.2cm,A,"3,349,309"
손흥민,로스앤젤레스 FC,남,1992-07-08,183cm,AB,"3,067,512"
박지훈,YY엔터테인먼트,남,1999-05-29,173cm,AB,"2,831,201"
유재석,안테나,남,1972-08-14,178cm,B,"2,015,312"
김연아,올댓스포츠,여,1990-09-05,164cm,O,"1,085,281"
이정후,샌프란시스코 자이언츠,남,1998-08-20,185cm,A,"1,015,456"
고윤정,MAA,여,1996-04-22,163cm,B,"855,724"
김혜윤,아티스트컴퍼니,여,1996-11-10,160cm,B,"831,169"
이정재,아티스트컴퍼니,남,1972-12-15,180cm,B,"664,985"
마동석,빅펀치엔터테인먼트,남,1971-03-01,178cm,O,"651,035"
공유,매니지먼트 숲,남,1979-07-10,184cm,A,"561,519"
이준호,JYP엔터테인먼트,남,1990-01-25,178cm,A,"543,485"
이찬원,티엔엔터테인먼트,남,1996-11-01,176cm,B,"486,700"
김도영,KIA 타이거즈,남,2003-10-02,183cm,,"481,761"
박보검,더블랙레이블,남,1993-06-16,182cm,O,"451,540"
엄태구,팀호프,남,1983-11-09,181cm,O,"380,064"
구교환,나무엑터스,남,1982-12-14,182cm,A,"371,673"
지예은,S&A엔터테인먼트,여,1994-07-26,171cm,,"370,543"
전지현,이음해시태그,여,1981-10-30,173cm,B,"358,271"
